date	China	France	India	Portugal	Spain	SriLanka	Sweden	Switzerland	U.S	U.K
1972	82.816	28.14	79.679	60.409	32.459	82.204	18.114	25.954	26.377	22.805
1977	82.48	26.932	77.974	58.422	29.117	81.701	17.127	25.684	26.327	21.995
1982	79.098	26.575	76.353	56.262	26.485	81.34	16.9	25.594	25.958	21.461
1987	75.741	26.2	75.177	53.658	25.327	81.418	16.9	25.893	25.207	21.71
1992	71.8	25.599	74.016	50.87	24.39	81.496	16.639	26.185	23.903	21.828
1997	67.117	24.75	72.972	47.572	23.981	81.573	16.058	26.454	21.992	21.528
2002	61.575	23.62	71.756	44.334	23.467	81.651	15.867	26.599	20.591	20.953
2007	54.801	22.379	70.094	41.251	22.26	81.728	15.412	26.47	19.731	19.521
2012	48.235	21.122	68.366	38.237	21.098	81.804	14.38	26.347	18.881	18.163
2017	42.04	19.82	66.4	35.348	19.92	81.616	12.854	26.239	17.942	16.857
